num_qubits,SWAP_Naive,SWAP_SABRE,SWAP_Naive_Dev,SWAP_SABRE_Dev
2,4.24,0.0,2.9970652311886705,0.0
3,13.32,1.82,4.805996254680189,0.38418745424597095
4,25.92,6.72,7.573215961531798,2.2184679398179274
5,43.56,15.84,8.393235371416674,7.209327291779726
6,68.2,22.2,12.541132325272706,7.681145747868608
7,93.0,34.62,17.44476998988522,9.754773190597513
8,118.0,43.26,17.375845303178778,11.996349444726926
9,157.78,58.84,24.234925211355616,12.827096319900308
10,192.46,70.88,26.48411599430874,17.148341027632966
11,242.66,83.24,29.40857698019406,17.81971941417709
12,284.96,105.2,29.83082969010416,18.926172354705006
13,334.64,198.58,34.889402402448795,34.58444158866816
14,397.04,230.84,40.056939473704176,46.97376288951099
15,449.14,254.62,39.58333487719295,38.51123991771753
16,520.66,281.26,43.92020491755475,42.626663017412
17,578.18,333.28,56.93072632594809,50.317805993504926
18,655.68,375.68,54.40347047753479,56.30219889133993
19,744.74,636.98,53.45869807617839,98.29353793612273
20,824.06,672.36,66.76897782653258,100.35113551923565
21,911.78,736.82,61.41637892288994,112.04725610205723
22,1014.94,782.42,70.19726775309705,117.6384443963792
23,1093.06,815.56,71.44939747821532,111.52724510181358
24,1200.76,928.34,72.13530619606462,134.88982318914944
